RowId,YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,Geolocation,ClassID,TopicID,QuestionID,LocationID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2
BRFSS~2022~2022~50~Q42~TCC04~AGE~RACE,2022,2022,VT,Vermont,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,50-64 years,Race/Ethnicity,"Black, non-Hispanic",POINT (-72.51764079099962 43.62538123900049),C06,TCC04,Q42,50,AGE,5064,RACE,BLK
BRFSS~2022~2022~51~Q12~TSC01~AGE~RACE,2022,2022,VA,Virginia,BRFSS,Screenings and Vaccines,Mammogram within past 2 years,Percentage of older adult women who have received a mammogram within the past 2 years,%,PRCTG,Percentage,83.1,83.1,,,67.5,92.1,Age Group,Overall,Race/Ethnicity,Hispanic,POINT (-78.45789046299967 37.54268067400045),C03,TSC01,Q12,51,AGE,AGE_OVERALL,RACE,HIS
BRFSS~2022~2022~55~Q43~TOC11~AGE~RACE,2022,2022,WI,Wisconsin,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,50-64 years,Race/Ethnicity,Native Am/Alaskan Native,POINT (-89.81637074199966 44.39319117400049),C01,TOC11,Q43,55,AGE,5064,RACE,NAA
BRFSS~2022~2022~53~Q18~TSC08~AGE~RACE,2022,2022,WA,Washington,BRFSS,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,%,PRCTG,Percentage,56.3,56.3,,,46.3,65.9,Age Group,Overall,Race/Ethnicity,Native Am/Alaskan Native,POINT (-120.47001078999972 47.52227862900048),C03,TSC08,Q18,53,AGE,AGE_OVERALL,RACE,NAA
BRFSS~2022~2022~55~Q30~TCC01~AGE~SEX,2022,2022,WI,Wisconsin,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,8.6,8.6,,,6.9,10.7,Age Group,50-64 years,Sex,Male,POINT (-89.81637074199966 44.39319117400049),C06,TCC01,Q30,55,AGE,5064,SEX,MALE
BRFSS~2022~2022~56~Q13~TNC04~AGE~RACE,2022,2022,WY,Wyoming,BRFSS,Nutrition/Physical Activity/Obesity,Obesity,"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,65 years or older,Race/Ethnicity,Asian/Pacific Islander,POINT (-108.10983035299967 43.23554134300048),C02,TNC04,Q13,56,AGE,65PLUS,RACE,ASN
BRFSS~2022~2022~54~Q20~TSC03~AGE~RACE,2022,2022,WV,West Virginia,BRFSS,Screenings and Vaccines,Pap test within past 3 years,Percentage of older adult women with an intact cervix who had a Pap test within the past 3 years,%,PRCTG,Percentage,25.1,25.1,,,20.8,29.8,Age Group,65 years or older,Race/Ethnicity,"White, non-Hispanic",POINT (-80.71264013499967 38.66551020200046),C03,TSC03,Q20,54,AGE,65PLUS,RACE,WHT
BRFSS~2022~2022~55~Q16~TNC03~AGE~SEX,2022,2022,WI,Wisconsin,BRFSS,Nutrition/Physical Activity/Obesity,No leisure-time physical activity within past month,Percentage of older adults who have not had any leisure time physical activity in the past month,%,PRCTG,Percentage,25.6,25.6,,,23.1,28.3,Age Group,65 years or older,Sex,Male,POINT (-89.81637074199966 44.39319117400049),C02,TNC03,Q16,55,AGE,65PLUS,SEX,MALE
BRFSS~2022~2022~9004~Q43~TOC11~AGE~RACE,2022,2022,WEST,West,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,%,PRCTG,Percentage,37.1,37.1,,,30.5,44.2,Age Group,Overall,Race/Ethnicity,Native Am/Alaskan Native,,C01,TOC11,Q43,9004,AGE,AGE_OVERALL,RACE,NAA
BRFSS~2022~2022~53~Q03~TMC01~AGE~OVERALL,2022,2022,WA,Washington,BRFSS,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,%,PRCTG,Percentage,10.6,10.6,,,10.0,11.3,Age Group,Overall,,,POINT (-120.47001078999972 47.52227862900048),C05,TMC01,Q03,53,AGE,AGE_OVERALL,OVERALL,OVERALL
BRFSS~2022~2022~50~Q17~TAC01~AGE~SEX,2022,2022,VT,Vermont,BRFSS,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,%,PRCTG,Percentage,18.1,18.1,,,14.5,22.3,Age Group,50-64 years,Sex,Male,POINT (-72.51764079099962 43.62538123900049),C04,TAC01,Q17,50,AGE,5064,SEX,MALE
BRFSS~2022~2022~56~Q17~TAC01~AGE~RACE,2022,2022,WY,Wyoming,BRFSS,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,%,PRCTG,Percentage,16.2,16.2,,,13.7,19.1,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",POINT (-108.10983035299967 43.23554134300048),C04,TAC01,Q17,56,AGE,5064,RACE,WHT
BRFSS~2022~2022~51~Q31~TCC02~AGE~RACE,2022,2022,VA,Virginia,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,65 years or older,Race/Ethnicity,Native Am/Alaskan Native,POINT (-78.45789046299967 37.54268067400045),C06,TCC02,Q31,51,AGE,65PLUS,RACE,NAA
BRFSS~2022~2022~56~Q33~TOC08~AGE~RACE,2022,2022,WY,Wyoming,BRFSS,Overall Health,Self-rated health (good to excellent health),"Percentage of older adults who self-reported that their health is ""good"", ""very good"", or ""excellent""",%,PRCTG,Percentage,79.5,79.5,,,77.1,81.8,Age Group,65 years or older,Race/Ethnicity,"White, non-Hispanic",POINT (-108.10983035299967 43.23554134300048),C01,TOC08,Q33,56,AGE,65PLUS,RACE,WHT
BRFSS~2022~2022~51~Q46~TOC10~AGE~RACE,2022,2022,VA,Virginia,BRFSS,Overall Health,"Disability status, including sensory or mobility limitations","Percentage of older adults who report having a disability (includes limitations related to sensory or mobility impairments or a physical, mental, or emotional condition)",%,PRCTG,Percentage,27.7,27.7,,,25.1,30.5,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",POINT (-78.45789046299967 37.54268067400045),C01,TOC10,Q46,51,AGE,5064,RACE,WHT
BRFSS~2022~2022~51~Q16~TNC03~AGE~SEX,2022,2022,VA,Virginia,BRFSS,Nutrition/Physical Activity/Obesity,No leisure-time physical activity within past month,Percentage of older adults who have not had any leisure time physical activity in the past month,%,PRCTG,Percentage,22.4,22.4,,,19.8,25.3,Age Group,50-64 years,Sex,Female,POINT (-78.45789046299967 37.54268067400045),C02,TNC03,Q16,51,AGE,5064,SEX,FEMALE
BRFSS~2022~2022~54~Q08~TOC01~AGE~RACE,2022,2022,WV,West Virginia,BRFSS,Overall Health,Physically unhealthy days (mean number of days),Physically unhealthy days (mean number of days in past month),Number,MEAN,Mean,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,65 years or older,Race/Ethnicity,Asian/Pacific Islander,POINT (-80.71264013499967 38.66551020200046),C01,TOC01,Q08,54,AGE,65PLUS,RACE,ASN
BRFSS~2022~2022~55~Q12~TSC01~AGE~RACE,2022,2022,WI,Wisconsin,BRFSS,Screenings and Vaccines,Mammogram within past 2 years,Percentage of older adult women who have received a mammogram within the past 2 years,%,PRCTG,Percentage,77.5,77.5,,,75.6,79.2,Age Group,Overall,Race/Ethnicity,"White, non-Hispanic",POINT (-89.81637074199966 44.39319117400049),C03,TSC01,Q12,55,AGE,AGE_OVERALL,RACE,WHT
BRFSS~2022~2022~51~Q35~TOC03~AGE~SEX,2022,2022,VA,Virginia,BRFSS,Overall Health,Recent activity limitations in past month,Mean number of days with activity limitations in the past month,Number,MEAN,Mean,7.3,7.3,,,6.0,8.6,Age Group,65 years or older,Sex,Male,POINT (-78.45789046299967 37.54268067400045),C01,TOC03,Q35,51,AGE,65PLUS,SEX,MALE
BRFSS~2022~2022~9004~Q17~TAC01~AGE~SEX,2022,2022,WEST,West,BRFSS,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,%,PRCTG,Percentage,11.2,11.2,,,10.3,12.2,Age Group,Overall,Sex,Male,,C04,TAC01,Q17,9004,AGE,AGE_OVERALL,SEX,MALE
BRFSS~2022~2022~78~Q46~TOC10~AGE~RACE,2022,2022,VI,Virgin Islands,BRFSS,Overall Health,"Disability status, including sensory or mobility limitations","Percentage of older adults who report having a disability (includes limitations related to sensory or mobility impairments or a physical, mental, or emotional condition)",%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,Overall,Race/Ethnicity,"White, non-Hispanic",POINT (-64.896335 18.335765),C01,TOC10,Q46,78,AGE,AGE_OVERALL,RACE,WHT
BRFSS~2022~2022~78~Q32~TOC07~AGE~RACE,2022,2022,VI,Virgin Islands,BRFSS,Overall Health,Self-rated health (fair to poor health),"Percentage of older adults who self-reported that their health is ""fair"" or ""poor""",%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,65 years or older,Race/Ethnicity,Hispanic,POINT (-64.896335 18.335765),C01,TOC07,Q32,78,AGE,65PLUS,RACE,HIS
BRFSS~2022~2022~55~Q37~TGC02~AGE~RACE,2022,2022,WI,Wisconsin,BRFSS,Caregiving,Expect to provide care for someone in the next two years,Percentage of older adults currently not providing care who expect to provide care for someone with health problems in the next two years,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,Overall,Race/Ethnicity,Native Am/Alaskan Native,POINT (-89.81637074199966 44.39319117400049),C07,TGC02,Q37,55,AGE,AGE_OVERALL,RACE,NAA
BRFSS~2022~2022~50~Q10~TSC10~AGE~RACE,2022,2022,VT,Vermont,BRFSS,Screenings and Vaccines,Up-to-date with recommended vaccines and screenings - Men,Percentage of older adult men who are up to date with select clinical preventive services,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,65 years or older,Race/Ethnicity,Hispanic,POINT (-72.51764079099962 43.62538123900049),C03,TSC10,Q10,50,AGE,65PLUS,RACE,HIS
BRFSS~2022~2022~9004~Q11~TSC11~AGE~RACE,2022,2022,WEST,West,BRFSS,Screenings and Vaccines,Up-to-date with recommended vaccines and screenings - Women,Percentage of older adult women who are up to date with select clinical preventive services,%,PRCTG,Percentage,13.5,13.5,,,7.5,22.9,Age Group,50-64 years,Race/Ethnicity,"Black, non-Hispanic",,C03,TSC11,Q11,9004,AGE,5064,RACE,BLK
BRFSS~2022~2022~51~Q36~TGC01~AGE~SEX,2022,2022,VA,Virginia,BRFSS,Caregiving,Provide care for a friend or family member in past month,Percentage of older adults who provided care for a friend or family member within the past month,%,PRCTG,Percentage,19.7,19.7,,,17.3,22.4,Age Group,Overall,Sex,Male,POINT (-78.45789046299967 37.54268067400045),C07,TGC01,Q36,51,AGE,AGE_OVERALL,SEX,MALE
BRFSS~2022~2022~9004~Q34~TOC09~AGE~SEX,2022,2022,WEST,West,BRFSS,Overall Health,Prevalence of sufficient sleep,Percentage of older adults getting sufficient sleep (>6 hours),%,PRCTG,Percentage,67.2,67.2,,,65.7,68.7,Age Group,Overall,Sex,Female,,C01,TOC09,Q34,9004,AGE,AGE_OVERALL,SEX,FEMALE
BRFSS~2022~2022~53~Q12~TSC01~AGE~RACE,2022,2022,WA,Washington,BRFSS,Screenings and Vaccines,Mammogram within past 2 years,Percentage of older adult women who have received a mammogram within the past 2 years,%,PRCTG,Percentage,76.4,76.4,,,66.1,84.3,Age Group,Overall,Race/Ethnicity,"Black, non-Hispanic",POINT (-120.47001078999972 47.52227862900048),C03,TSC01,Q12,53,AGE,AGE_OVERALL,RACE,BLK
BRFSS~2022~2022~78~Q17~TAC01~AGE~RACE,2022,2022,VI,Virgin Islands,BRFSS,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,50-64 years,Race/Ethnicity,Hispanic,POINT (-64.896335 18.335765),C04,TAC01,Q17,78,AGE,5064,RACE,HIS
BRFSS~2022~2022~9004~Q10~TSC10~AGE~RACE,2022,2022,WEST,West,BRFSS,Screenings and Vaccines,Up-to-date with recommended vaccines and screenings - Men,Percentage of older adult men who are up to date with select clinical preventive services,%,PRCTG,Percentage,29.4,29.4,,,15.4,48.9,Age Group,65 years or older,Race/Ethnicity,Native Am/Alaskan Native,,C03,TSC10,Q10,9004,AGE,65PLUS,RACE,NAA
BRFSS~2022~2022~78~Q27~TMC03~AGE~OVERALL,2022,2022,VI,Virgin Islands,BRFSS,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,Overall,,,POINT (-64.896335 18.335765),C05,TMC03,Q27,78,AGE,AGE_OVERALL,OVERALL,OVERALL
BRFSS~2022~2022~78~Q43~TOC11~AGE~SEX,2022,2022,VI,Virgin Islands,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,%,PRCTG,Percentage,38.7,38.7,,,25.8,53.4,Age Group,65 years or older,Sex,Female,POINT (-64.896335 18.335765),C01,TOC11,Q43,78,AGE,65PLUS,SEX,FEMALE
BRFSS~2022~2022~54~Q07~TOC05~AGE~RACE,2022,2022,WV,West Virginia,BRFSS,Overall Health,Oral health:  tooth retention,Percentage of older adults who report having lost 5 or fewer teeth due to decay or gum disease,%,PRCTG,Percentage,70.3,70.3,,,56.2,81.4,Age Group,Overall,Race/Ethnicity,"Black, non-Hispanic",POINT (-80.71264013499967 38.66551020200046),C01,TOC05,Q07,54,AGE,AGE_OVERALL,RACE,BLK
BRFSS~2022~2022~53~Q46~TOC10~AGE~SEX,2022,2022,WA,Washington,BRFSS,Overall Health,"Disability status, including sensory or mobility limitations","Percentage of older adults who report having a disability (includes limitations related to sensory or mobility impairments or a physical, mental, or emotional condition)",%,PRCTG,Percentage,39.8,39.8,,,37.9,41.8,Age Group,65 years or older,Sex,Female,POINT (-120.47001078999972 47.52227862900048),C01,TOC10,Q46,53,AGE,65PLUS,SEX,FEMALE
BRFSS~2022~2022~9004~Q11~TSC11~AGE~RACE,2022,2022,WEST,West,BRFSS,Screenings and Vaccines,Up-to-date with recommended vaccines and screenings - Women,Percentage of older adult women who are up to date with select clinical preventive services,%,PRCTG,Percentage,49.5,49.5,,,47.4,51.6,Age Group,65 years or older,Race/Ethnicity,"White, non-Hispanic",,C03,TSC11,Q11,9004,AGE,65PLUS,RACE,WHT
BRFSS~2022~2022~54~Q21~TAC03~AGE~RACE,2022,2022,WV,West Virginia,BRFSS,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,Overall,Race/Ethnicity,Asian/Pacific Islander,POINT (-80.71264013499967 38.66551020200046),C04,TAC03,Q21,54,AGE,AGE_OVERALL,RACE,ASN
BRFSS~2022~2022~55~Q11~TSC11~AGE~RACE,2022,2022,WI,Wisconsin,BRFSS,Screenings and Vaccines,Up-to-date with recommended vaccines and screenings - Women,Percentage of older adult women who are up to date with select clinical preventive services,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,50-64 years,Race/Ethnicity,Hispanic,POINT (-89.81637074199966 44.39319117400049),C03,TSC11,Q11,55,AGE,5064,RACE,HIS
BRFSS~2022~2022~78~Q13~TNC04~AGE~RACE,2022,2022,VI,Virgin Islands,BRFSS,Nutrition/Physical Activity/Obesity,Obesity,"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,Overall,Race/Ethnicity,"White, non-Hispanic",POINT (-64.896335 18.335765),C02,TNC04,Q13,78,AGE,AGE_OVERALL,RACE,WHT
BRFSS~2022~2022~78~Q21~TAC03~AGE~SEX,2022,2022,VI,Virgin Islands,BRFSS,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,65 years or older,Sex,Male,POINT (-64.896335 18.335765),C04,TAC03,Q21,78,AGE,65PLUS,SEX,MALE
BRFSS~2022~2022~55~Q12~TSC01~AGE~RACE,2022,2022,WI,Wisconsin,BRFSS,Screenings and Vaccines,Mammogram within past 2 years,Percentage of older adult women who have received a mammogram within the past 2 years,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,50-64 years,Race/Ethnicity,Native Am/Alaskan Native,POINT (-89.81637074199966 44.39319117400049),C03,TSC01,Q12,55,AGE,5064,RACE,NAA
BRFSS~2022~2022~53~Q13~TNC04~AGE~RACE,2022,2022,WA,Washington,BRFSS,Nutrition/Physical Activity/Obesity,Obesity,"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",%,PRCTG,Percentage,38.4,38.4,,,27.3,50.9,Age Group,65 years or older,Race/Ethnicity,"Black, non-Hispanic",POINT (-120.47001078999972 47.52227862900048),C02,TNC04,Q13,53,AGE,65PLUS,RACE,BLK
BRFSS~2022~2022~54~Q11~TSC11~AGE~RACE,2022,2022,WV,West Virginia,BRFSS,Screenings and Vaccines,Up-to-date with recommended vaccines and screenings - Women,Percentage of older adult women who are up to date with select clinical preventive services,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,65 years or older,Race/Ethnicity,Asian/Pacific Islander,POINT (-80.71264013499967 38.66551020200046),C03,TSC11,Q11,54,AGE,65PLUS,RACE,ASN
BRFSS~2022~2022~51~Q03~TMC01~AGE~RACE,2022,2022,VA,Virginia,BRFSS,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,50-64 years,Race/Ethnicity,Asian/Pacific Islander,POINT (-78.45789046299967 37.54268067400045),C05,TMC01,Q03,51,AGE,5064,RACE,ASN
BRFSS~2022~2022~54~Q19~TSC04~AGE~RACE,2022,2022,WV,West Virginia,BRFSS,Screenings and Vaccines,Diabetes screening within past 3 years,Percentage of older adults without diabetes who reported a blood sugar or diabetes test within 3 years,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,65 years or older,Race/Ethnicity,Native Am/Alaskan Native,POINT (-80.71264013499967 38.66551020200046),C03,TSC04,Q19,54,AGE,65PLUS,RACE,NAA
BRFSS~2022~2022~54~Q19~TSC04~AGE~SEX,2022,2022,WV,West Virginia,BRFSS,Screenings and Vaccines,Diabetes screening within past 3 years,Percentage of older adults without diabetes who reported a blood sugar or diabetes test within 3 years,%,PRCTG,Percentage,89.0,89.0,,,86.2,91.3,Age Group,Overall,Sex,Male,POINT (-80.71264013499967 38.66551020200046),C03,TSC04,Q19,54,AGE,AGE_OVERALL,SEX,MALE
BRFSS~2022~2022~9004~Q31~TCC02~AGE~SEX,2022,2022,WEST,West,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,25.5,25.5,&,Regional estimates may not represent all states in the region,16.7,36.8,Age Group,65 years or older,Sex,Male,,C06,TCC02,Q31,9004,AGE,65PLUS,SEX,MALE
BRFSS~2022~2022~56~Q35~TOC03~AGE~RACE,2022,2022,WY,Wyoming,BRFSS,Overall Health,Recent activity limitations in past month,Mean number of days with activity limitations in the past month,Number,MEAN,Mean,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,65 years or older,Race/Ethnicity,"Black, non-Hispanic",POINT (-108.10983035299967 43.23554134300048),C01,TOC03,Q35,56,AGE,65PLUS,RACE,BLK
BRFSS~2022~2022~56~Q21~TAC03~AGE~RACE,2022,2022,WY,Wyoming,BRFSS,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,50-64 years,Race/Ethnicity,Hispanic,POINT (-108.10983035299967 43.23554134300048),C04,TAC03,Q21,56,AGE,5064,RACE,HIS
BRFSS~2022~2022~53~Q36~TGC01~AGE~RACE,2022,2022,WA,Washington,BRFSS,Caregiving,Provide care for a friend or family member in past month,Percentage of older adults who provided care for a friend or family member within the past month,%,PRCTG,Percentage,15.7,15.7,,,10.8,22.3,Age Group,65 years or older,Race/Ethnicity,Hispanic,POINT (-120.47001078999972 47.52227862900048),C07,TGC01,Q36,53,AGE,65PLUS,RACE,HIS
BRFSS~2022~2022~51~Q43~TOC11~AGE~RACE,2022,2022,VA,Virginia,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,65 years or older,Race/Ethnicity,Asian/Pacific Islander,POINT (-78.45789046299967 37.54268067400045),C01,TOC11,Q43,51,AGE,65PLUS,RACE,ASN
BRFSS~2022~2022~51~Q42~TCC04~AGE~OVERALL,2022,2022,VA,Virginia,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,46.9,46.9,,,41.1,52.9,Age Group,Overall,,,POINT (-78.45789046299967 37.54268067400045),C06,TCC04,Q42,51,AGE,AGE_OVERALL,OVERALL,OVERALL
